country,continent,gdp,child,life,totalpop,color
Tanzania,Africa,1,1,1,1,0
Thailand,Asia,1,1,1,1,3
Timor-Leste,Asia,1,1,1,1,3
Togo,Africa,1,1,1,1,0
Tonga,Asia,1,1,1,1,3
Trinidad and Tobago,America,1,1,1,1,1
Tunisia,Africa,1,1,1,1,0
Turkey,Europe,1,1,1,1,2
Turkmenistan,Asia,1,1,1,1,3
Uganda,Africa,1,1,1,1,0
Ukraine,Europe,1,1,1,1,2
United Arab Emirates,Asia,1,1,1,1,3
United Kingdom,Europe,1,1,1,1,2
United States,America,1,1,1,1,1
Uruguay,America,1,1,1,1,1
Uzbekistan,Asia,1,1,1,1,3
Vanuatu,Asia,1,1,1,1,3
Venezuela,America,1,1,1,1,1
Vietnam,Asia,1,1,1,1,3
West Bank and Gaza,Asia,1,1,1,1,3
Zambia,Africa,1,1,1,1,0
Zimbabwe,Africa,1,1,1,1,0
